date,datatype,station,value,fl_M,fl_S,elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
2018-01-01T00:00:00,PRCP,GHCND:GME00102388,601.4,,E,351,1941-01-01,2020-02-29,48.8283,"STRAUBING, GM",0.7448,GHCND:GME00102388,METERS,12.5603
2018-01-01T00:00:00,PRCP,GHCND:GME00102396,647.7,,E,461,1941-01-01,2020-03-29,48.4264,"AUGSBURG, GM",0.9601,GHCND:GME00102396,METERS,10.9431
2018-01-01T00:00:00,PRCP,GHCND:GME00102404,616,,E,443,1941-01-01,2020-02-29,47.6781,"KONSTANZ, GM",1,GHCND:GME00102404,METERS,9.1908
2018-01-01T00:00:00,PRCP,GHCND:GME00102412,1002.2,,E,705,1895-05-01,2020-02-29,47.7242,"KEMPTEN, GM",1,GHCND:GME00102412,METERS,10.3364
2018-01-01T00:00:00,PRCP,GHCND:GME00111430,515.7,,E,48,1988-10-27,2020-03-29,52.1353,"MUENSTER OSNABRUECK AIRPORT, GM",0.9999,GHCND:GME00111430,METERS,7.7
2018-01-01T00:00:00,PRCP,GHCND:GME00111445,375.9,,E,48,1931-01-01,2020-02-29,52.4683,"BERLIN TEMPELHOF, GM",0.9993,GHCND:GME00111445,METERS,13.4039
2018-01-01T00:00:00,PRCP,GHCND:GME00111457,897.4,,E,839,1936-05-01,2020-02-29,51.1903,"ALTASTENBERG, GM",0.9993,GHCND:GME00111457,METERS,8.4681
2018-01-01T00:00:00,PRCP,GHCND:GME00111474,734.4,,E,265,1932-07-01,2020-02-29,49.7492,"TRIER PETRISBERG, GM",0.9451,GHCND:GME00111474,METERS,6.6592
2018-01-01T00:00:00,PRCP,GHCND:GME00111503,572.7,,E,116,1931-01-01,2020-02-29,48.9733,"RHEINSTETTEN, GM",0.7269,GHCND:GME00111503,METERS,8.3308
2018-01-01T00:00:00,PRCP,GHCND:GME00111512,506.3,,E,371,1953-01-01,2020-02-29,48.6892,"STUTTGART ECHTERDINGEN, GM",1,GHCND:GME00111512,METERS,9.2253
2018-01-01T00:00:00,PRCP,GHCND:GME00114621,1301.3,,E,1142,1936-01-01,2020-02-29,51.8,"BROCKEN, GM",0.9493,GHCND:GME00114621,METERS,10.62
2018-01-01T00:00:00,PRCP,GHCND:GME00115771,522.1,,E,314,1958-01-01,2020-02-29,48.8292,"STUTTGART SCHNARRENBERG, GM",0.9992,GHCND:GME00115771,METERS,9.2008
2018-01-01T00:00:00,PRCP,GHCND:GME00120934,1592.1,,E,1490,1936-01-01,2020-02-29,47.8756,"FELDBERG SCHWARZWALD, GM",0.974,GHCND:GME00120934,METERS,8.0044
2018-01-01T00:00:00,PRCP,GHCND:GME00120946,1344.3,,E,797,1949-01-01,2020-02-29,48.4544,"FREUDENSTADT, GM",0.9993,GHCND:GME00120946,METERS,8.41
2018-01-01T00:00:00,PRCP,GHCND:GME00120958,690.2,,E,231,2011-04-01,2020-02-29,50.7992,"AACHEN ORSBACH, GM",1,GHCND:GME00120958,METERS,6.025
2018-01-01T00:00:00,PRCP,GHCND:GME00120970,394,,E,311,1952-01-01,2020-02-29,50.8819,"GERA LEUMNITZ, GM",1,GHCND:GME00120970,METERS,12.13
2018-01-01T00:00:00,PRCP,GHCND:GME00120982,592.3,,E,203,1939-01-01,2020-02-29,50.6008,"GIESSEN WETTENBERG, GM",0.963,GHCND:GME00120982,METERS,8.6506
2018-01-01T00:00:00,PRCP,GHCND:GME00120994,435.7,,E,54,1947-01-01,2020-02-29,53.0331,"ANGERMUNDE, GM",1,GHCND:GME00120994,METERS,13.9931
2018-01-01T00:00:00,PRCP,GHCND:GME00121030,529.4,,E,27,1935-01-01,2020-02-29,54.3756,"KIEL HOLTENAU, GM",0.9388,GHCND:GME00121030,METERS,10.1439
2018-01-01T00:00:00,PRCP,GHCND:GME00121042,627.7,,E,92,1931-01-01,2020-03-29,50.8658,"KOLN BONN, GM",1,GHCND:GME00121042,METERS,7.1583
2018-01-01T00:00:00,PRCP,GHCND:GME00121054,610.2,,E,155,1950-01-01,2020-03-29,48.3656,"LAHR, GM",0.9988,GHCND:GME00121054,METERS,7.8289
2018-01-01T00:00:00,PRCP,GHCND:GME00121078,686.2,,E,157,1931-01-01,2020-02-29,51.7867,"BAD LIPPSPRINGE, GM",0.9776,GHCND:GME00121078,METERS,8.8394
2018-01-01T00:00:00,PRCP,GHCND:GME00121090,442.7,,E,81,1902-01-01,2020-02-29,53.3242,"MARNITZ, GM",0.9879,GHCND:GME00121090,METERS,11.9333
2018-01-01T00:00:00,PRCP,GHCND:GME00121114,1421.9,,E,806,1936-01-01,2020-02-29,47.3989,"OBERSTDORF, GM",0.997,GHCND:GME00121114,METERS,10.2767
2018-01-01T00:00:00,PRCP,GHCND:GME00121126,618.5,,E,276,1889-07-01,2020-02-29,49.2081,"OHRINGEN, GM",1,GHCND:GME00121126,METERS,9.5183
2018-01-01T00:00:00,PRCP,GHCND:GME00121138,691.7,,E,365,1936-01-01,2020-02-29,49.0433,"REGENSBURG, GM",0.9993,GHCND:GME00121138,METERS,12.1031
2018-01-01T00:00:00,PRCP,GHCND:GME00121150,384.1,,E,36,1936-06-12,2020-03-29,52.5656,"BERLIN TEGEL, GM",0.9993,GHCND:GME00121150,METERS,13.3106
2018-01-01T00:00:00,PRCP,GHCND:GME00121162,773.5,,E,734,1947-01-01,2020-02-29,48.6667,"STOTTEN, GM",1,GHCND:GME00121162,METERS,9.8656
2018-01-01T00:00:00,PRCP,GHCND:GME00121174,830.1,,E,921,1936-01-01,2020-02-29,50.4978,"WASSERKUPPE, GM",0.9119,GHCND:GME00121174,METERS,9.9439
2018-01-01T00:00:00,PRCP,GHCND:GME00121186,537.7,,E,440,1947-01-01,2020-02-29,49.6669,"WEIDEN, GM",1,GHCND:GME00121186,METERS,12.1856
2018-01-01T00:00:00,PRCP,GHCND:GME00121210,759.3,,E,476,1997-01-01,2020-02-29,48.5458,"FURSTENZELL, GM",1,GHCND:GME00121210,METERS,13.3544
2018-01-01T00:00:00,PRCP,GHCND:GME00121222,619.5,,E,497,1997-10-01,2020-02-29,49.9475,"HAHN, GM",1,GHCND:GME00121222,METERS,7.2644
2018-01-01T00:00:00,PRCP,GHCND:GME00121246,459.6,,E,119,1942-07-01,2020-02-29,50.0892,"OFFENBACH WETTERPARK, GM",0.9998,GHCND:GME00121246,METERS,8.7864
2018-01-01T00:00:00,PRCP,GHCND:GME00121258,428.9,,E,69,1887-01-01,2020-02-29,51.7775,"COTTBUS, GM",0.9318,GHCND:GME00121258,METERS,14.3183
2018-01-01T00:00:00,PRCP,GHCND:GME00121306,390.8,,E,97,1948-07-01,2020-02-29,51.6467,"DOBERLUG KIRCHHAIN, GM",0.98740000000000006,GHCND:GME00121306,METERS,13.5767
2018-01-01T00:00:00,PRCP,GHCND:GME00121354,404.2,,E,114,1946-01-01,2020-02-29,51.0233,"DRESDEN HOSTERWITZ, GM",0.946,GHCND:GME00121354,METERS,13.8494
2018-01-01T00:00:00,PRCP,GHCND:GME00121366,393.3,,E,119,1936-01-01,2020-02-29,51.0253,"DRESDEN STREHLEN, GM",0.7824,GHCND:GME00121366,METERS,13.7756
2018-01-01T00:00:00,PRCP,GHCND:GME00121378,341.5,,E,80,1991-01-01,2020-02-29,52.2183,"DREWITZ BEI BURG, GM",1,GHCND:GME00121378,METERS,12.165
2018-01-01T00:00:00,PRCP,GHCND:GME00121402,434.3,,E,107,1951-01-01,2020-02-29,49.4728,"BAD DURKHEIM, GM",0.9705,GHCND:GME00121402,METERS,8.1939
2018-01-01T00:00:00,PRCP,GHCND:GME00121534,579.3,,E,346,1899-02-01,2020-02-29,49.8531,"EBRACH, GM",1,GHCND:GME00121534,METERS,10.5003
2018-01-01T00:00:00,PRCP,GHCND:GME00121546,613.8,,E,18,1979-01-01,2020-02-29,54.6294,"EGGEBEK, GM",0.8791,GHCND:GME00121546,METERS,9.3669
2018-01-01T00:00:00,PRCP,GHCND:GME00121582,665.9,,E,384,1921-01-01,2020-02-29,48.8789,"EICHSTATT LANDERSHOFEN, GM",0.9537,GHCND:GME00121582,METERS,11.2358
2018-01-01T00:00:00,PRCP,GHCND:GME00121654,722.7,,E,460,1909-04-01,2020-02-29,48.9903,"ELLWANGEN RINDELBACH, GM",0.9962,GHCND:GME00121654,METERS,10.1317
2018-01-01T00:00:00,PRCP,GHCND:GME00121666,539.1,,E,3,1998-01-01,2020-02-29,54.0708,"ELPERSBUTTEL, GM",0.9636,GHCND:GME00121666,METERS,9.0114
2018-01-01T00:00:00,PRCP,GHCND:GME00121702,568.9,,E,560,1948-06-01,2020-02-29,50.2717,"BAD SOHL ELSTER, GM",0.9711,GHCND:GME00121702,METERS,12.2753
2018-01-01T00:00:00,PRCP,GHCND:GME00121714,1062.1,,E,440,1987-11-01,2020-02-29,48.2019,"ELZACH FISNACHT, GM",0.8608,GHCND:GME00121714,METERS,8.1094
2018-01-01T00:00:00,PRCP,GHCND:GME00121750,623.7,,E,201,1961-01-01,2020-02-29,48.1383,"EMMENDINGEN MUNDINGEN, GM",1,GHCND:GME00121750,METERS,7.8356
2018-01-01T00:00:00,PRCP,GHCND:GME00121822,568.9,,E,220,1931-01-01,2018-12-31,49.1675,"EPPINGEN ELSENZ, GM",0.9886,GHCND:GME00121822,METERS,8.8531
2018-01-01T00:00:00,PRCP,GHCND:GME00121846,649.5,,E,18,1931-01-01,2020-02-29,54.3008,"ERFDE, GM",0.9627,GHCND:GME00121846,METERS,9.3169
2018-01-01T00:00:00,PRCP,GHCND:GME00121882,569.7,,E,268,1931-01-01,2020-02-29,49.6506,"MOHRENDORF KLEINSEEBACH, GM",1,GHCND:GME00121882,METERS,11.0083
2018-01-01T00:00:00,PRCP,GHCND:GME00121930,349.5,,E,170,1947-09-01,2020-02-29,51.1844,"ESCHWEGE, GM",0.9978,GHCND:GME00121930,METERS,10.065
2018-01-01T00:00:00,PRCP,GHCND:GME00121954,420,,E,30,1951-01-01,2020-02-29,53.6881,"ALTENTREPTOW, GM",0.8807,GHCND:GME00121954,METERS,13.2631
2018-01-01T00:00:00,PRCP,GHCND:GME00121966,901.6,,E,351,1938-01-01,2020-02-29,51.2553,"ESLOHE, GM",0.9252,GHCND:GME00121966,METERS,8.1569
2018-01-01T00:00:00,PRCP,GHCND:GME00121978,642.6,,E,150,1935-01-01,2020-02-29,51.4056,"ESSEN BREDENEY, GM",0.9648,GHCND:GME00121978,METERS,6.9683
2018-01-01T00:00:00,PRCP,GHCND:GME00121990,432.2,,E,296,1969-01-01,2020-02-29,51.0892,"ALTGERINGSWALDE, GM",0.9772,GHCND:GME00121990,METERS,12.9342
2018-01-01T00:00:00,PRCP,GHCND:GME00122002,466,,E,146,1937-01-01,2020-02-29,50.7131,"WEILERSWIST LOMMERSUM, GM",0.966,GHCND:GME00122002,METERS,6.7917
2018-01-01T00:00:00,PRCP,GHCND:GME00122038,670.6,,E,472,1941-01-01,2020-02-29,48.4842,"KR.ROTTAL INN FALKENBERG, GM",0.9811,GHCND:GME00122038,METERS,12.7256
2018-01-01T00:00:00,PRCP,GHCND:GME00122050,458.6,,E,73,2001-04-01,2020-02-29,52.9192,"FASSBERG, GM",0.9456,GHCND:GME00122050,METERS,10.1839
2018-01-01T00:00:00,PRCP,GHCND:GME00122086,900.1,,E,657,1941-01-01,2020-02-29,49.9817,"FICHTELBERG OBERFRANKEN HUTTST, GM",0.9705,GHCND:GME00122086,METERS,11.8392
2018-01-01T00:00:00,PRCP,GHCND:GME00122098,466.7,,E,25,2007-05-31,2020-02-29,51.51,"DUISBURG BAERL, GM",1,GHCND:GME00122098,METERS,6.7019
2018-01-01T00:00:00,PRCP,GHCND:GME00122122,471.6,,E,77,2007-11-01,2020-02-29,52.0831,"HAMELN HASTENBECK, GM",0.9993,GHCND:GME00122122,METERS,9.4081
2018-01-01T00:00:00,PRCP,GHCND:GME00122134,522,,E,68,2007-12-01,2020-02-29,51.5981,"WALTROP ABDINGHOF, GM",1,GHCND:GME00122134,METERS,7.4056
2018-01-01T00:00:00,PRCP,GHCND:GME00122146,757.5,,E,205,2008-05-01,2020-02-29,51.3342,"GEVELSBERG OBERBROKING, GM",1,GHCND:GME00122146,METERS,7.3417
2018-01-01T00:00:00,PRCP,GHCND:GME00122158,693.7,,E,490,2008-04-01,2020-02-29,48.5742,"LANDSHUT REITHOF, GM",1,GHCND:GME00122158,METERS,12.2589
2018-01-01T00:00:00,PRCP,GHCND:GME00122170,425.6,,E,280,2007-12-01,2020-02-29,50.6825,"ROCKENDORF, GM",1,GHCND:GME00122170,METERS,11.5164
2018-01-01T00:00:00,PRCP,GHCND:GME00122182,1011.2,,E,380,2007-11-01,2020-02-29,51.0908,"MEINERZHAGEN REDLENDORF, GM",1,GHCND:GME00122182,METERS,7.6294
2018-01-01T00:00:00,PRCP,GHCND:GME00122194,563.1,,E,363,1931-01-01,2020-02-29,50.5058,"FLADUNGEN HEUFURT, GM",0.9547,GHCND:GME00122194,METERS,10.1681
